43.7050831248106, -72.29492692556658, 68A6
43.70889161906508, -72.28428544564693, B3EB
43.70647161906508, -72.28710544564693, 2CA3
43.70514073366537, -72.28813980827107, 9231
43.70248770250545, -72.28655459430716, 053F
43.70118770250545, -72.28733459430716, 1AFE
43.70347513677836, -72.28547209464742, 4760
43.70306813022213, -72.2841179353967, 05AD
43.7010496527145, -72.2879686414412, 1819
43.70073945072846, -72.28843721262066, 002C
43.700925470191854, -72.28934865024106, 268B
43.701248092638075, -72.28941110827371, 6C8A
43.70237489787583, -72.28889519286851, 17E2
43.702191991795105, -72.28948414820545, AEA3
43.70311670478548, -72.29036667783219, 2C15
43.70269670478548, -72.28959667783219, 4C24
43.70681052510002, -72.28727887475374, 7895
43.70153787136777, -72.28944825654662, 39FC
43.70512684875783, -72.28916213723178, DECA
43.706296395105744, -72.28923192922353, 0462
43.71267477015279, -72.28577127763148, 5754
43.708239002193984, -72.28732441558715, 693F
43.708239002193984, -72.28732441558715, 36E5
43.70336330506461, -72.2885407136371, C2A0
43.7066578, -72.2872742, 007A
